"Date","Price","Open","High","Low","Vol.","Change %"
"04-03-2025","3,986.15","3,910.05","4,004.00","3,865.00","31.58K","1.15%"
"05-03-2025","4,072.45","3,970.00","4,082.40","3,960.20","23.22K","2.16%"
"06-03-2025","4,111.15","4,125.00","4,139.05","4,067.80","15.51K","0.95%"
"07-03-2025","4,138.40","4,111.15","4,163.35","4,097.70","17.45K","0.66%"
"10-03-2025","4,148.35","4,138.40","4,196.00","4,090.50","30.44K","0.24%"
"11-03-2025","4,091.95","4,053.65","4,141.05","4,008.15","43.08K","-1.36%"
"12-03-2025","4,075.55","4,055.25","4,098.00","4,026.00","24.06K","-0.40%"
"13-03-2025","4,065.35","4,082.00","4,097.65","4,035.15","36.33K","-0.25%"
"17-03-2025","4,093.70","4,085.65","4,128.00","4,050.95","12.54K","0.70%"
"18-03-2025","4,076.20","4,093.70","4,121.00","4,065.25","37.11K","-0.43%"
"19-03-2025","4,068.15","4,086.15","4,124.00","4,060.00","23.07K","-0.20%"
"20-03-2025","4,115.35","4,072.10","4,165.80","4,065.05","30.65K","1.16%"
"21-03-2025","4,117.10","4,125.00","4,176.50","4,093.85","39.96K","0.04%"
"24-03-2025","4,097.75","4,120.00","4,193.80","4,080.05","38.37K","-0.47%"
"25-03-2025","4,092.15","4,160.00","4,160.00","4,075.00","15.76K","-0.14%"
"26-03-2025","4,010.10","4,093.50","4,120.00","3,997.00","30.02K","-2.01%"
"27-03-2025","3,973.05","4,023.00","4,031.00","3,966.00","44.60K","-0.92%"
"28-03-2025","4,004.50","3,970.00","4,104.90","3,954.65","57.64K","0.79%"
"01-04-2025","4,036.05","3,992.50","4,052.55","3,980.00","15.60K","0.79%"
"02-04-2025","4,047.35","4,055.00","4,058.00","3,975.55","13.78K","0.28%"
"03-04-2025","4,069.90","4,100.00","4,149.50","4,004.05","30.29K","0.56%"
"04-04-2025","4,017.30","4,069.85","4,069.85","3,955.00","26.07K","-1.29%"
"07-04-2025","3,913.75","3,701.00","3,941.25","3,701.00","28.38K","-2.58%"
"08-04-2025","4,023.70","3,990.85","4,033.00","3,894.30","21.05K","2.81%"
"09-04-2025","4,034.90","4,000.00","4,075.85","3,941.15","17.88K","0.28%"
"11-04-2025","4,080.25","4,115.60","4,115.60","4,001.20","19.93K","1.12%"
"15-04-2025","4,197.90","4,130.00","4,229.90","4,050.00","34.40K","2.88%"
